Theoritical theta	Error rate	mu	Execution time
1600.0	0.9903357394091943	0.004	0.338
1600.0	0.9887273987848999	0.004	0.338
1600.0	0.98122180920486	0.004	0.338
1600.0	1.004408719871769	0.004	0.338
1600.0	1.032286624026203	0.004	0.338
1600.0	0.9698293964494424	0.004	0.338
1600.0	0.9971711870624449	0.004	0.338
1600.0	1.0223685235097217	0.004	0.338
1600.0	0.963664090722981	0.004	0.338
1600.0	1.0422047245426844	0.004	0.338
1600.0	1.0292039711629724	0.004	0.338
1600.0	0.9911399097213414	0.004	0.338
1600.0	0.9474466560946805	0.004	0.338
1600.0	1.0466276612594936	0.004	0.338
1600.0	0.9688911977519373	0.004	0.338
1600.0	1.0239768641340161	0.004	0.338
1600.0	0.9798815253512815	0.004	0.338
1600.0	1.0153990474711132	0.004	0.338
1600.0	0.9694273112933688	0.004	0.338
1600.0	0.9781391563416294	0.004	0.338
1600.0	1.0029344076328328	0.004	0.338
1600.0	1.012852508149314	0.004	0.338
1600.0	1.0129865365346717	0.004	0.338
1600.0	0.9885933703995421	0.004	0.338
1600.0	0.995160761282077	0.004	0.338
1600.0	0.9765308157173351	0.004	0.338
1600.0	0.9739842763955359	0.004	0.338
1600.0	1.0375137310551594	0.004	0.338
1600.0	1.0152650190857555	0.004	0.338
1600.0	1.0239768641340161	0.004	0.338
1600.0	0.9778710995709138	0.004	0.338
1600.0	0.9605814378597504	0.004	0.338
1600.0	0.9495911102604062	0.004	0.338
1600.0	1.0069552591935684	0.004	0.338
1600.0	1.0104399972128726	0.004	0.338
1600.0	0.9891294839409736	0.004	0.338
1600.0	1.0696805435410446	0.004	0.338
1600.0	1.050112399278798	0.004	0.338
1600.0	0.9995836979988862	0.004	0.338
1600.0	1.072093054477486	0.004	0.338
1600.0	0.9710356519176631	0.004	0.338
1600.0	0.9902017110238365	0.004	0.338
1600.0	0.9694273112933688	0.004	0.338
1600.0	0.9922121368042042	0.004	0.338
1600.0	0.9798815253512815	0.004	0.338
1600.0	1.0574839604734798	0.004	0.338
1600.0	1.010037912056799	0.004	0.338
1600.0	0.9637981191083389	0.004	0.338
1600.0	0.9994496696135284	0.004	0.338
1600.0	1.0557415914638277	0.004	0.338
1600.0	0.9918100516481307	0.004	0.338
1600.0	1.0255852047583103	0.004	0.338
1600.0	1.0237088073633003	0.004	0.338
1600.0	0.9869850297752478	0.004	0.338
1600.0	1.0155330758564711	0.004	0.338
1600.0	0.972107879000526	0.004	0.338
1600.0	0.9887273987848999	0.004	0.338
1600.0	0.9895315690970472	0.004	0.338
1600.0	1.006285117266779	0.004	0.338
1600.0	0.9623238068694024	0.004	0.338
1600.0	1.0424727813134	0.004	0.338
1600.0	0.98122180920486	0.004	0.338
1600.0	1.0901868865007964	0.004	0.338
1600.0	1.0096358269007255	0.004	0.338
1600.0	0.9855107175363115	0.004	0.338
1600.0	0.942219549065724	0.004	0.338
1600.0	0.9918100516481307	0.004	0.338
1600.0	1.0023982940914014	0.004	0.338
1600.0	1.034163021421213	0.004	0.338
1600.0	1.0076254011203576	0.004	0.338
1600.0	0.9743863615516095	0.004	0.338
1600.0	1.0554735346931121	0.004	0.338
1600.0	1.0167393313246917	0.004	0.338
1600.0	1.030544255016551	0.004	0.338
1600.0	1.0121823662225247	0.004	0.338
1600.0	1.0237088073633003	0.004	0.338
1600.0	0.9552203024454361	0.004	0.338
1600.0	1.0013260670085384	0.004	0.338
1600.0	1.0278636873093938	0.004	0.338
1600.0	1.0191518422611332	0.004	0.338
1600.0	0.9981093857599498	0.004	0.338
1600.0	1.0005218966963914	0.004	0.338
1600.0	1.0195539274172067	0.004	0.338
1600.0	1.0038726063303376	0.004	0.338
1600.0	0.975726645405188	0.004	0.338
1600.0	0.9915419948774149	0.004	0.338
1600.0	0.9875211433166793	0.004	0.338
1600.0	0.9684891125958639	0.004	0.338
1600.0	0.9851086323802378	0.004	0.338
1600.0	1.03121439694334	0.004	0.338
1600.0	0.9788092982684187	0.004	0.338
1600.0	1.0376477594405171	0.004	0.338
1600.0	0.999851754769602	0.004	0.338
1600.0	0.9619217217133289	0.004	0.338
1600.0	0.9763967873319772	0.004	0.338
1600.0	1.0427408380841157	0.004	0.338
1600.0	0.9750565034783988	0.004	0.338
1600.0	0.9962329883649399	0.004	0.338
3200.0	0.9873871149313215	0.008	0.689
3200.0	0.9969031302917292	0.008	0.689
3200.0	1.0048108050278426	0.008	0.689
3200.0	0.9809537524341444	0.008	0.689
3200.0	1.0215643531975747	0.008	0.689
3200.0	0.992413179382241	0.008	0.689
3200.0	0.9851086323802378	0.008	0.689
3200.0	1.0154660616637923	0.008	0.689
3200.0	1.0273275737679624	0.008	0.689
3200.0	0.9899336542531206	0.008	0.689
3200.0	0.9937534632358195	0.008	0.689
3200.0	0.9776700569928769	0.008	0.689
3200.0	0.9979083431819131	0.008	0.689
3200.0	0.9917430374554518	0.008	0.689
3200.0	0.9817579227462915	0.008	0.689
3200.0	1.0005218966963914	0.008	0.689
3200.0	1.0015271095865752	0.008	0.689
3200.0	1.0097698552860832	0.008	0.689
3200.0	1.006553174037495	0.008	0.689
3200.0	0.9808197240487866	0.008	0.689
3200.0	1.0013930812012175	0.008	0.689
3200.0	0.9888614271702579	0.008	0.689
3200.0	0.9829641782145121	0.008	0.689
3200.0	0.9779381137635926	0.008	0.689
3200.0	0.9816238943609337	0.008	0.689
3200.0	1.0183476719489861	0.008	0.689
